participant_id,condition,question_index,question_text,hint_given,timestamp

2007,peer,0,Which club has won the most English Premier League titles?,"I think ""D. Manchester City"" might not be right. Try the others.",2026-07-19T18:54:51.800353
2007,peer,0,Which club has won the most English Premier League titles?,"I think ""B. Liverpool"" might not be right. Try the others.",2026-07-19T18:55:02.511784
2007,peer,0,Which club has won the most English Premier League titles?,"I think ""C. Arsenal"" might not be right. Try the others.",2026-07-19T18:55:05.936381
2007,peer,1,Who is the top scorer in UEFA European Championship history?,"I think ""C. Alan Shearer"" might not be right. Try the others.",2026-07-19T18:55:24.261017
2007,peer,1,Who is the top scorer in UEFA European Championship history?,"I think ""B. Michel Platini"" might not be right. Try the others.",2026-07-19T18:55:25.356585
2007,peer,1,Who is the top scorer in UEFA European Championship history?,"I think ""D. Antoine Griezmann"" might not be right. Try the others.",2026-07-19T18:55:26.341145
2007,peer,2,Which country has the most UEFA Champions League titles?,"I think ""D. Germany"" might not be right. Try the others.",2026-07-19T18:55:35.017586
2007,peer,2,Which country has the most UEFA Champions League titles?,"I think ""C. Italy"" might not be right. Try the others.",2026-07-19T18:55:35.718847
2007,peer,2,Which country has the most UEFA Champions League titles?,"I think ""B. England"" might not be right. Try the others.",2026-07-19T18:55:36.561832
2007,peer,3,Which German club won the Bundesliga in 2022-23?,"I think ""C. RB Leipzig"" might not be right. Try the others.",2026-07-19T18:55:44.880729
2007,peer,3,Which German club won the Bundesliga in 2022-23?,"I think ""D. Union Berlin"" might not be right. Try the others.",2026-07-19T18:55:45.507692
2007,peer,3,Which German club won the Bundesliga in 2022-23?,"I think ""A. Borussia Dortmund"" might not be right. Try the others.",2026-07-19T18:55:46.217529
2007,peer,4,Who was the captain of the French team that won the 1998 World Cup?,"I think ""D. Laurent Blanc"" might not be right. Try the others.",2026-07-19T18:55:51.963690
2007,peer,4,Who was the captain of the French team that won the 1998 World Cup?,"I think ""C. Thierry Henry"" might not be right. Try the others.",2026-07-19T18:55:52.709650
2007,peer,4,Who was the captain of the French team that won the 1998 World Cup?,"I think ""A. Zinedine Zidane"" might not be right. Try the others.",2026-07-19T18:55:53.345882
2007,peer,5,Which Italian club has the most Serie A titles?,"I think ""D. Roma"" might not be right. Try the others.",2026-07-19T18:55:59.202907
2007,peer,5,Which Italian club has the most Serie A titles?,"I think ""B. AC Milan"" might not be right. Try the others.",2026-07-19T18:56:00.021517
2007,peer,5,Which Italian club has the most Serie A titles?,"I think ""C. Inter Milan"" might not be right. Try the others.",2026-07-19T18:56:00.841366
2007,peer,6,Who is the youngest player to score in a FIFA World Cup final?,"I think ""B. Kylian Mbappé"" might not be right. Try the others.",2026-07-19T18:56:06.051247
2007,peer,6,Who is the youngest player to score in a FIFA World Cup final?,"I think ""C. Lionel Messi"" might not be right. Try the others.",2026-07-19T18:56:07.008952
2007,peer,6,Who is the youngest player to score in a FIFA World Cup final?,"I think ""D. Diego Maradona"" might not be right. Try the others.",2026-07-19T18:56:08.011090
2007,peer,7,Which country hosted the 2022 FIFA World Cup?,"I think ""D. Germany"" might not be right. Try the others.",2026-07-19T18:56:13.343958
2007,peer,7,Which country hosted the 2022 FIFA World Cup?,"I think ""B. Russia"" might not be right. Try the others.",2026-07-19T18:56:14.886651
2007,peer,7,Which country hosted the 2022 FIFA World Cup?,"I think ""C. Brazil"" might not be right. Try the others.",2026-07-19T18:56:15.601175
2007,peer,8,Which club won the 2021 UEFA Champions League?,"I think ""B. Manchester City"" might not be right. Try the others.",2026-07-19T18:56:20.951544
2007,peer,8,Which club won the 2021 UEFA Champions League?,"I think ""D. Liverpool"" might not be right. Try the others.",2026-07-19T18:56:21.427311
2007,peer,8,Which club won the 2021 UEFA Champions League?,"I think ""C. Real Madrid"" might not be right. Try the others.",2026-07-19T18:56:21.998217
2007,peer,9,Who is the all-time top scorer for the German national team?,"I think ""C. Lukas Podolski"" might not be right. Try the others.",2026-07-19T18:56:27.387406
2007,peer,9,Who is the all-time top scorer for the German national team?,"I think ""D. Thomas Müller"" might not be right. Try the others.",2026-07-19T18:56:27.837665
2007,peer,9,Who is the all-time top scorer for the German national team?,"I think ""A. Gerd Müller"" might not be right. Try the others.",2026-07-19T18:56:28.382838
3938,peer,0,Which club has won the most English Premier League titles?,"I think ""B. Liverpool"" might not be right. Try the others.",2026-07-19T19:27:58.656682
3938,peer,1,Who is the top scorer in UEFA European Championship history?,"I think ""D. Antoine Griezmann"" might not be right. Try the others.",2026-07-19T19:28:17.842187
3938,peer,1,Who is the top scorer in UEFA European Championship history?,"I think ""C. Alan Shearer"" might not be right. Try the others.",2026-07-19T19:28:47.754278
3938,peer,2,Which country has the most UEFA Champions League titles?,"I think ""C. Italy"" might not be right. Try the others.",2026-07-19T19:29:00.554518
3938,peer,2,Which country has the most UEFA Champions League titles?,"I think ""D. Germany"" might not be right. Try the others.",2026-07-19T19:29:03.101627
3938,peer,2,Which country has the most UEFA Champions League titles?,"I think ""B. England"" might not be right. Try the others.",2026-07-19T19:29:05.471303
3938,peer,3,Which German club won the Bundesliga in 2022-23?,"I think ""C. RB Leipzig"" might not be right. Try the others.",2026-07-19T19:29:14.756507
3938,peer,3,Which German club won the Bundesliga in 2022-23?,"I think ""D. Union Berlin"" might not be right. Try the others.",2026-07-19T19:29:20.053922
3938,peer,4,Who was the captain of the French team that won the 1998 World Cup?,"I think ""A. Zinedine Zidane"" might not be right. Try the others.",2026-07-19T19:29:31.093484
3938,peer,4,Who was the captain of the French team that won the 1998 World Cup?,"I think ""D. Laurent Blanc"" might not be right. Try the others.",2026-07-19T19:29:35.001350
3938,peer,4,Who was the captain of the French team that won the 1998 World Cup?,"I think ""C. Thierry Henry"" might not be right. Try the others.",2026-07-19T19:30:01.105831
3938,peer,5,Which Italian club has the most Serie A titles?,"I think ""D. Roma"" might not be right. Try the others.",2026-07-19T19:30:18.201237
3938,peer,5,Which Italian club has the most Serie A titles?,"I think ""B. AC Milan"" might not be right. Try the others.",2026-07-19T19:30:21.482882
